,Country,GLASS,1.5,TRIVEX,1.56,POLY,1.6,1.67,> 1.67,TOT PLASTIC,TOT LENS,Code
0,France,0.3478779761910382,61.48913080289222,0.005601209605680891,0.005601209605680891,7.71192739094839,22.89293792547411,6.33586433923097,1.2110591460519082,99.65212202380896,100,FRA
1,Germany,5.450549450549451,47.17032967032967,0.20879120879120883,0.0989010989010989,0.8131868131868132,34.95329670329671,7.032967032967033,4.271978021978022,94.54945054945055,100,DEU
2,Italy,0.5729442970822282,61.58620689655172,0.7108753315649867,2.5251989389920424,2.2015915119363396,23.909814323607428,6.769230769230769,1.7241379310344827,99.42705570291778,100,ITA
3,Spain,0.7514000638551881,55.12270273764883,0.5827500310110365,1.7251620850637646,0.4457122176620589,32.95798317452634,6.969650758447347,1.444638931785419,99.2485999361448,100,ESP
4,United Kingdom,0.09999751384656937,73.39817516338192,0.3499912984629928,0.5499863261561316,2.5024239995948565,15.79960718775796,4.866545673866376,2.433272836933188,99.90000248615343,100,GBR
5,Austria,3.3456770706738532,47.783131496547085,0.4003374272601192,1.458372056447577,1.7157318311147967,33.256601993108475,10.18000886461446,1.860139260233625,96.65432292932614,100,AUT
6,Belgium,1.800156705958823,43.50378706067156,1.2001044706392157,4.000348235464051,3.4915988194297394,38.00330823690849,5.333797647285402,2.666898823642701,98.19984329404117,100,BEL
7,Denmark,0.7999999999999998,47.599999999999994,1.0999999999999999,0.3,0.8999999999999998,41.4,5.266666666666666,2.633333333333333,99.19999999999999,100,DNK
8,Finland,0.4999819093734708,44.99837184361237,1.0999602006216356,0.29998914562408246,0.8035891803034073,43.398429733617256,5.93311865789852,2.96655932894926,99.50001809062653,100,FIN
9,Ireland,0.23772305522171172,73.26115136473294,0.02712922527657828,1.873890749895256,8.356388346101017,7.557880946822457,6.157901505330414,2.5279348066196174,99.76227694477829,100,IRL
10,Netherlands,1.9999801562612325,47.79952573464345,0.0,0.3999960312522465,0.300989210377569,41.19959121898139,5.533278432322743,2.7666392161613715,98.00001984373876,100,NLD
11,Norway,0.5000000000000001,45.00000000000001,1.1,0.3,0.8000000000000002,43.4,5.933333333333334,2.966666666666667,99.50000000000001,100,NOR
12,Portugal,2.727272727272727,57.29665071770334,0.6220095693779905,1.674641148325359,7.488038277511961,23.516746411483254,4.043062200956938,2.631578947368421,97.27272727272728,100,PRT
13,Sweden,0.7000000000000001,47.1,1.1,1.3000000000000003,0.7999999999999994,40.7,5.533333333333335,2.7666666666666675,99.30000000000001,100,SWE
14,Switzerland,2.306477093206951,35.76619273301738,0.1263823064770932,0.0631911532385466,0.7582938388625593,45.33965244865718,13.744075829383887,1.8957345971563981,97.69352290679305,100,CHE
16,Bulgaria,0.0,68.51948051948052,0.2597402597402597,2.6493506493506493,2.181818181818182,21.558441558441558,4.363636363636364,0.4675324675324675,100.0,100,BGR
17,Croatia,3.6619718309859155,71.3380281690141,0.5633802816901409,4.366197183098591,2.676056338028169,13.802816901408452,3.169014084507042,0.42253521126760557,96.3380281690141,100,HRV
18,Czech Republic,0.1325847146884289,56.55110159826056,3.6278115306960528,3.9449825172017854,9.129426380405729,23.388126512434326,2.8260525386233857,0.3999142076897671,99.86741528531158,100,CZE
19,Hungary,0.1552393272962484,75.03234152652006,3.3376455368693403,0.258732212160414,4.269081500646831,11.107004250600628,4.509332840510072,1.3306228053964146,99.84476067270376,100,HUN
20,Poland,1.8413511014407544,75.39264877592086,0.4783866623941129,2.791205686199309,0.7058755638176548,15.463329272717507,2.7605043470426143,0.5666985904671724,98.15864889855924,100,POL
21,Romania,18.566666666666666,64.06666666666668,1.7999999999999998,7.3,2.4833333333333334,4.616666666666667,0.8666666666666666,0.3,81.43333333333334,100,ROU
22,Slovakia,0.0,60.948667966211836,6.107862248213127,2.9889538661468493,5.133203378817416,15.724496426250816,7.082521117608839,2.014294996751137,100.0,100,SVK
23,Slovenia,4.673913043478261,51.52173913043478,2.1739130434782608,9.565217391304348,4.673913043478261,16.847826086956523,9.021739130434783,1.5217391304347827,95.32608695652173,100,SVN
25,Morocco,15.30997952022209,50.28576252103488,0.0,26.948813006542988,0.5966797671620888,5.940405537927586,0.7511302144891076,0.1672294326212684,84.6900204797779,100,MAR
26,Russia,1.1460805401561531,55.90578694499175,0.031876429165896634,19.930505617307208,0.9255108302871305,19.325052610832287,2.6070365282108314,0.12815049904873743,98.85391945984384,100,RUS
27,Saudi Arabia,0.025316455696202535,30.0,0.46835443037974683,51.26582278481012,6.987341772151899,4.810126582278481,6.012658227848101,0.43037974683544306,99.9746835443038,100,SAU
28,South Africa,0.0,68.25307000169771,0.0,25.40886197725086,2.801199705732556,2.6031350800746984,0.9054382887216341,0.028294946522551066,100.0,100,ZAF
29,Tunisia,1.2825025711682976,26.867969457926506,0.02750251003668282,61.146588209195194,1.025388164928932,6.300795063510865,2.847713630140469,0.5015403930930609,98.7174974288317,100,TUN
30,Turkey,0.13118987436417218,38.909816054261526,0.07743827767273007,51.342568979738026,0.13858342011282723,5.923838654914593,3.144849217722524,0.33171552121359726,99.86881012563583,100,TUR
31,United Arab Emirates,0.05002276035596196,42.019118699008054,1.450660050322897,33.86540876098625,6.1527995237833215,9.404278946920849,6.2073243325713205,0.8503869260513534,99.94997723964404,100,ARE
34,Canada,0.083755419561395,37.98969768211739,0.2514050871483303,1.0009601706034787,24.82407691867861,20.341790241534227,14.082738993302721,1.4255754870538506,99.9162445804386,100,CAN
