,Country,Population(x000),Tot Population with a visual correction need(%),Tot Population with a visual correction need(x000),Tot Population with a visual correction (%),Tot Population with a visual correction(x000),Spectacle SV Lenses(%),Spectacle BTF Lenses(%),Spectacle PAL Lenses(%),Contact Lenses(%),Ready-Mades(%),Myopia Control(%),Spectacle SV Lenses(x000),Spectacle BTF Lenses.(x000),Spectacle PAL Lenses.1(x000),Contact Lenses.1(x000),Ready-Mades.1(x000),Myopia Control.1(x000),Code
39,Taiwan,11181.18,100,11181.18,76.55338927,8559.57225,70,0.5,30.5,4.52923446,18,0,5991.700575,42.79786125,2610.669536,387.683096,1540.723005,0,TWN
40,Australia,10614.161,88,9340.46168,85,9022.03685,30,18,48,4,27,0,2706.611055,1623.966633,4330.577688,360.881474,2435.94995,0,AUS
41,New Zealand,2109.257,89,1877.23873,85,1792.86845,25,10,60,10,16,0,448.2171125,179.286845,1075.72107,179.286845,286.858952,0,NZL
42,India,366394.812,100,366394.812,27.55937902,100976.1349,12,71,22.49209753,0,8,0,12117.13619,71693.05581,22711.65076,0,8078.090795,0,IND
43,Japan,70680,90.5,63965.4,74.15,52409.22,66,0.52,44.33,7.7,32,0,34956.94974,272.527944,23233.00723,4035.50994,16770.9504,0,JPN
44,Indonesia,78885.039,70,55219.5273,30,23665.5117,25,27,27,0,26,0,5916.377925,6389.688159,6389.688159,0,6153.033042,0,IDN
45,"Korea, South",25790.711,95,24501.17545,72.1,18595.10263,86,0,15.2,3,22,0,15991.78826,0,2826.4556,557.8530789,4090.922579,0,KOR
46,Malaysia,9340.284,76,7098.61584,68,6351.39312,30,10,40,5,25,0,1905.417936,635.139312,2540.557248,317.569656,1587.84828,0,MYS
47,Philippines,25977.198,80,20781.7584,8,2078.17584,12,40,38,4,17,0,249.3811008,831.270336,789.7068192,83.1270336,353.2898928,0,PHL
48,Singapore,1863.276,90,1676.9484,80,1490.6208,50,0.5,42,22,34,0,745.3104,7.453104,626.060736,327.936576,506.811072,0,SGP
49,Thailand,31462.046,70,22023.4322,31,9753.23426,20,10,30,1,40,0,1950.646852,975.323426,2925.970278,97.5323426,3901.293704,0,THA
50,Vietnam,31188.462,99.5,31032.51969,32,9980.30784,9.5,39.7,10,0,42,0,948.1292448,3962.182212,998.030784,0,4191.729293,0,VNM
