,Country,Population(x000),Tot Population with a visual correction need(%),Tot Population with a visual correction need(x000),Tot Population with a visual correction (%),Tot Population with a visual correction(x000),Spectacle SV Lenses(%),Spectacle BTF Lenses(%),Spectacle PAL Lenses(%),Contact Lenses(%),Ready-Mades(%),Myopia Control(%),Spectacle SV Lenses(x000),Spectacle BTF Lenses.(x000),Spectacle PAL Lenses.1(x000),Contact Lenses.1(x000),Ready-Mades.1(x000),Myopia Control.1(x000),Code
0,France,15786,42,6630,33.5,5288,96,0.05,0.1,9,0,2.1,5076,2,5,475,0,111,FRA
1,Germany,15398,29,4465,17.5,2694,98,0.5,0,6,0,0.7,2640,13,0,161,0,18,DEU
2,Italy,10166,26.5,2694,24.3,2470,98.8,0,0,4.4,0,1.2,2440,0,0,108,0,29,ITA
3,Spain,8622,35,3017,30,2586,91,0,1,15,0,1,2353,0,25,387,0,25,ESP
4,United Kingdom,15642,65,10167,41,6413,98,0,0,8,0,0.9,6285,0,0,513,0,57,GBR
5,Austria,1723,29.5,508,16,275,99,0,1,5.1,0,2.3,273,0,2,14,0,6,AUT
6,Belgium,2576,64,1648,40,1030,95,0,0,10,5,0.3,979,0,0,103,51,3,BEL
7,Denmark,1289,62,799,37,477,90,0,0,18.5,0,0.5,429,0,0,88,0,2,DNK
8,Finland,1146,64,733,39,447,94,0,0.200002,14,0,0.2,420,0,0,62,0,0,FIN
9,Ireland,1326,67,888,20,265,98,0,0,8,0,0.08,259,0,0,21,0,0,IRL
10,Netherlands,3716,62,2304,35,1300,65,0,0,40,0,0.21,845,0,0,520,0,2,NLD
11,Norway,1231,65,800,41,505,91,0.09,0.19,14,0,0.1,459,0,0,70,0,0,NOR
12,Portugal,1887,30.5,575,19.2,362,96.2,0,0,23.9,0,0.5,348,0,0,86,0,1,PRT
13,Sweden,2448,65,1591,41,1003,94,0,0.2,15,0,0.5,943,0,2,150,0,5,SWE
14,Switzerland,1740,22,382,20,348,90,1,1,15,1,5,313,3,3,52,3,17,CHE
15,Bulgaria,1215,35,425,11,133,95,0,0,10,0,0,126,0,0,13,0,0,BGR
16,Croatia,733,42,308,32,234,95,1,1,10,0,0,223,2,2,23,0,0,HRV
17,Czech Republic,2186,12,262,9.1,198,97,0,0,12,0,1.2,192,0,0,23,0,2,CZE
18,Hungary,1803,35,631,25,450,93,0,0,8,0,1,419,0,0,36,0,4,HUN
19,Poland,6950,45,3127,25.02674499,1739,95.5,0,0,12,3.1,1.5,1661,0,0,208,53,26,POL
20,Romania,4271,42,1793,21,896,94,0,0,7,0,0.3,843,0,0,62,0,2,ROU
21,Slovakia,1222,58,709,42,513,100,0,0,18,0,0,513,0,0,92,0,0,SVK
22,Slovenia,416,41,170,31,128,95,1,1,10,0,0,122,1,1,12,0,0,SVN
23,Morocco,12991,39,5066,18,2338,100,0,0,3,0,0,2338,0,0,70,0,0,MAR
24,Russia,32867,15,4930,13,4272,97,0,0,16,0,2.6,4144,0,0,683,0,111,RUS
25,Saudi Arabia,12169,28,3407,23,2798,93,0,1,9,2,0,2602,0,27,251,55,0,SAU
26,South Africa,22114,33.5,7408,9,1990,93,0.5,0,8,0,0.1,1850,9,0,159,0,1,ZAF
27,Tunisia,3928,22,864,12,471,96,0,0,5,0,0.01,452,0,0,23,0,0,TUN
28,Turkey,26101,45,11745,33,8613,99.98,0,0,2,0,0.09,8611,0,0,172,0,7,TUR
29,United Arab Emirates,1760,25,440,19,334,95,0,0,9,0,0,317,0,0,30,0,0,ARE
30,Canada,8070,29,2340,25.5,2058,97,0,2,20,0,10,1996,0,41,411,0,205,CAN
31,United States,76656,30,22996,27,20697,98.7824847,0.38579204,0.83,22,0,0,20445,79,171,4553,0,0,USA
32,Brazil,59349,31.92084168,18944,24.05331205,14275,100,0,0,0.9,0,1.00E-15,14275,0,0,128,0,0,BRA
33,Argentina,14145,33,4668,16,2263,100,0,0,10,0,0,2263,0,0,226,0,0,ARG
34,Chile,4798,35.2,1689,9,431,92,0,0,9,0,0,397,0,0,38,0,0,CHL
35,Colombia,15089,27.2,4104,23.2,3500,99,0,0,2.71,0,0.04,3465,0,0,94,0,1,COL
36,Mexico,42083,29,12204,24,10100,95,0,0,11,0,0.01,9595,0,0,1111,0,1,MEX
37,China,293644,39,114521,25,73411,88,0.1,0,6.3,0,12,64601,73,0,4624,0,8809,CHN
38,Hong Kong,1035,56.3,582,45,465,95,0,0,5,0,7.8,442,0,0,23,0,36,HKG
39,Taiwan,3648,48.00324657,1751,40.95627043,1494,92,0,1.9,33,0,8,1374,0,28,493,0,119,TWN
40,Australia,6233,31,1932,25,1558,98,0.1,0,7,0,0.9,1527,1,0,109,0,14,AUS
41,New Zealand,1286,31,398,24,308,90,0,1,25,0,0.17,277,0,3,77,0,0,NZL
42,India,486055,31.6,153593,12.87969231,62602,100,0,0,0.5,0,0.006,62602,0,0,313,0,3,IND
43,Japan,18910,37,6996,30,5673,98,0,0,25.5,0,0.05,5559,0,0,1446,0,2,JPN
44,Indonesia,91907,20,18381,10.5,9650,100,0,0,24,0,0.3,9650,0,0,2316,0,28,IDN
45,"Korea, South",8276,67,5545,43,3558,94.5,0,0,18,0,0.5,3363,0,0,640,0,17,KOR
46,Malaysia,10369,46,4769,36.5,3784,80,0,0.01,30,0,10,3027,0,0,1135,0,378,MYS
47,Philippines,45948,9,4135,6,2756,90,0,0,13,0,0.03,2481,0,0,358,0,0,PHL
48,Singapore,788,65,512,60,473,90,0,0,20,0,3.2,425,0,0,94,0,15,SGP
49,Thailand,15230,29,4416,20,3046,75,0,0,55,0,0.11,2284,0,0,1675,0,3,THA
50,Vietnam,28960,44.8494022,12988,23.5,6805,97,0,0,5,0,0,6601,0,0,340,0,0,VNM
